,sancion,causa,dependencia,genero,ingreso,puesto,c,value
1,Acta Administrativa,ABUSO DE FUNCIONES,Gasto Público,Mujer,1310230.0,Secretario de Estado,2,1
2,Acta Administrativa,ABUSO DE FUNCIONES,Gasto Público,Mujer,5315172.0,Secretario de Estado,1,1
3,Acta Administrativa,ABUSO DE FUNCIONES,Gasto Público,Mujer,5436864.0,Secretario de Estado,1,1
4,Acta Administrativa,ABUSO DE FUNCIONES,Gasto Público,Mujer,5175204.0,Secretario de Estado,1,1
5,Acta Administrativa,ABUSO DE FUNCIONES,Gasto Público,Mujer,5255676.0,Secretario de Estado,1,1
6,Acta Administrativa,ABUSO DE FUNCIONES,Gasto Público,Mujer,6013668.0,Secretario de Estado,1,1
7,Acta Administrativa,ABUSO DE FUNCIONES,Gasto Público,Mujer,6013668.0,Secretario de Estado,1,1
8,Multa,DESVÍO DE RECURSOS,Servicios,Hombre,126855.0,Jefe Departamento,3,1
9,Multa,DESVÍO DE RECURSOS,Servicios,Hombre,608904.0,Jefe Departamento,3,1
10,Multa,DESVÍO DE RECURSOS,Servicios,Hombre,608904.0,Jefe Departamento,3,1
11,Multa,DESVÍO DE RECURSOS,Servicios,Hombre,608904.0,Jefe Departamento,3,1
12,Multa,DESVÍO DE RECURSOS,Servicios,Hombre,608904.0,Jefe Departamento,3,1
13,Multa,DESVÍO DE RECURSOS,Servicios,Hombre,608904.0,Jefe Departamento,3,1
14,Multa,DESVÍO DE RECURSOS,Servicios,Hombre,608904.0,Jefe Departamento,3,1
15,Multa,DESVÍO DE RECURSOS,Servicios,Hombre,608904.0,Jefe Departamento,3,1
16,Multa,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,126855.0,Analista,3,1
17,Multa,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,126855.0,Analista,3,1
18,Multa,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,608904.0,Analista,3,1
19,Multa,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,608904.0,Analista,3,1
20,Multa,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,608904.0,Analista,3,1
21,Multa,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,608904.0,Analista,3,1
22,Multa,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,608904.0,Analista,3,1
23,Multa,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,608904.0,Analista,3,1
24,Sanción Económica,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,105560.0,Jefe Departamento,3,1
25,Sanción Económica,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,105560.0,Jefe Departamento,3,1
26,Sanción Económica,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,506688.0,Jefe Departamento,3,1
27,Sanción Económica,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,506688.0,Jefe Departamento,3,1
28,Sanción Económica,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,506688.0,Jefe Departamento,3,1
29,Sanción Económica,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,506688.0,Jefe Departamento,3,1
30,Sanción Económica,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,506688.0,Jefe Departamento,3,1
31,Sanción Económica,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,506688.0,Jefe Departamento,3,1
32,Inhabilitación,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,506688.0,Analista,3,1
33,Inhabilitación,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,160000.0,Analista,3,1
34,Inhabilitación,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,768000.0,Analista,3,1
35,Inhabilitación,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,768000.0,Analista,3,1
36,Inhabilitación,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,768000.0,Analista,3,1
37,Inhabilitación,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,768000.0,Analista,3,1
38,Inhabilitación,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,768000.0,Analista,3,1
39,Inhabilitación,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,768000.0,Analista,3,1
40,Indemnización Resarcitoria,DESVÍO DE RECURSOS,Agricultura,Hombre,768000.0,Director,3,1
41,Indemnización Resarcitoria,DESVÍO DE RECURSOS,Agricultura,Hombre,252600.0,Director,3,1
42,Indemnización Resarcitoria,DESVÍO DE RECURSOS,Agricultura,Hombre,1084512.0,Director,3,1
43,Indemnización Resarcitoria,DESVÍO DE RECURSOS,Agricultura,Hombre,1151004.0,Director,3,1
44,Indemnización Resarcitoria,DESVÍO DE RECURSOS,Agricultura,Hombre,1081716.0,Director,3,1
45,Indemnización Resarcitoria,DESVÍO DE RECURSOS,Agricultura,Hombre,1081716.0,Director,3,1
46,Indemnización Resarcitoria,DESVÍO DE RECURSOS,Agricultura,Hombre,1210092.0,Director,3,1
47,Indemnización Resarcitoria,DESVÍO DE RECURSOS,Agricultura,Hombre,1090308.0,Director,3,1
48,Destitución,DESVÍO DE RECURSOS,Agricultura,Hombre,1693510.0,Director,3,1
49,Destitución,DESVÍO DE RECURSOS,Agricultura,Hombre,1693510.0,Director,3,1
50,Destitución,DESVÍO DE RECURSOS,Agricultura,Hombre,5716752.0,Director,1,1
51,Destitución,DESVÍO DE RECURSOS,Agricultura,Hombre,4351032.0,Director,1,1
52,Destitución,DESVÍO DE RECURSOS,Agricultura,Hombre,5438916.0,Director,1,1
53,Destitución,DESVÍO DE RECURSOS,Agricultura,Hombre,5160744.0,Director,1,1
54,Destitución,DESVÍO DE RECURSOS,Agricultura,Hombre,4842180.0,Director,1,1
55,Destitución,DESVÍO DE RECURSOS,Agricultura,Hombre,4842180.0,Director,1,1
