,autoridadSancionadora,sancion,causa,dependencia,genero,puesto,inhabilitacion,value
0,Contraloría Interna,INHABILITADO,TRÁFICO DE INFLUENCIAS,Energía,Mujer,Jefe de departamento,6.0,1
1,Tribunal,INHABILITADO,ENRIQUECIMIENTO OCULTO,Energía,Hombre,Jefe de departamento,2.0,1
2,Organo de Control Interno,SUSPENSION,TRÁFICO DE INFLUENCIAS,Energía,Hombre,Jefe de departamento,6.0,1
3,Tribunal,INHABILITADO,NEPOTISMO,Energía,Mujer,Jefe de departamento,4.0,1
4,OIC,INHABILITADO,DESVÍO DE RECURSOS PÚBLICOS,Energía,Mujer,Jefe de departamento,6.0,1
5,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Energía,Mujer,Jefe de departamento,3.0,1
6,Tribunal,SUSPENSION,DESVÍO DE RECURSOS PÚBLICOS,Energía,Hombre,Jefe de departamento,10.0,1
7,Organo de Control Interno,DESTITUCION,CONTRATACIÓN INDEBIDA,Energía,Mujer,Jefe de departamento,2.0,1
8,Contraloría Interna,INHABILITADO,CONFLICTO DE INTERÉS,Energía,Mujer,Jefe de departamento,9.0,1
9,OIC,SUSPENSION,CONFLICTO DE INTERÉS,Energía,Mujer,Jefe de departamento,9.0,1
10,OIC,SUSPENSION,TRÁFICO DE INFLUENCIAS,Energía,Mujer,Jefe de departamento,6.0,1
11,OIC,DESTITUCION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Hombre,Jefe de departamento,3.0,1
12,Contraloría Interna,SUSPENSION,COHECHO,Energía,Hombre,Jefe de departamento,6.0,1
13,Contraloría Interna,SUSPENSION,PECULADO,Energía,Hombre,Jefe de departamento,2.0,1
14,Contraloría Interna,SUSPENSION,DESVÍO DE RECURSOS PÚBLICOS,Energía,Mujer,Jefe de departamento,6.0,1
15,Contraloría Interna,INHABILITADO,TRÁFICO DE INFLUENCIAS,Energía,Hombre,Jefe de departamento,5.0,1
16,Tribunal,DESTITUCION,NEPOTISMO,Energía,Mujer,Jefe de departamento,7.0,1
17,OIC,SUSPENSION,CONFLICTO DE INTERÉS,Energía,Hombre,Jefe de departamento,7.0,1
18,Organo de Control Interno,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Energía,Mujer,Jefe de departamento,4.0,1
19,OIC,INHABILITADO,PECULADO,Energía,Hombre,Jefe de departamento,3.0,1
20,Organo de Control Interno,INHABILITADO,ABUSO DE FUNCIONES,Energía,Hombre,Jefe de departamento,4.0,1
21,OIC,INHABILITADO,CONFLICTO DE INTERÉS,Energía,Mujer,Jefe de departamento,9.0,1
22,Organo de Control Interno,SUSPENSION,ABUSO DE FUNCIONES,Energía,Mujer,Jefe de departamento,8.0,1
23,Contraloría Interna,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Energía,Hombre,Jefe de departamento,7.0,1
24,Contraloría Interna,SUSPENSION,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Hombre,Jefe de departamento,4.0,1
25,OIC,DESTITUCION,CONTRATACIÓN INDEBIDA,Energía,Mujer,Jefe de departamento,9.0,1
26,Contraloría Interna,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Energía,Mujer,Jefe de departamento,6.0,1
27,Tribunal,INHABILITADO,CONFLICTO DE INTERÉS,Energía,Mujer,Jefe de departamento,1.0,1
28,Contraloría Interna,SUSPENSION,DESVÍO DE RECURSOS PÚBLICOS,Energía,Hombre,Jefe de departamento,8.0,1
29,OIC,INHABILITADO,COHECHO,Energía,Mujer,Jefe de departamento,5.0,1
30,Contraloría Interna,SUSPENSION,CONTRATACIÓN INDEBIDA,Energía,Mujer,Jefe de departamento,1.0,1
31,Contraloría Interna,DESTITUCION,ENRIQUECIMIENTO OCULTO,Energía,Hombre,Jefe de departamento,10.0,1
32,Contraloría Interna,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,Analista,10.0,1
33,Tribunal,DESTITUCION,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director General Paraestatal A,10.0,1
34,OIC,DESTITUCION,CONFLICTO DE INTERÉS,Servicios,Hombre,Administrador,7.0,1
