,autoridadSancionadora,sancion,causa,dependencia,genero,puesto,multa,ingreso,value
8,Tribunal,MULTADO,DESVÍO DE RECURSOS PÚBLICOS,Servicios,Hombre,Jefe de Departamento,25245.0,126855.0,1
9,Tribunal,MULTADO,DESVÍO DE RECURSOS PÚBLICOS,Servicios,Hombre,Jefe de Departamento,25245.0,608904.0,1
10,Tribunal,MULTADO,DESVÍO DE RECURSOS PÚBLICOS,Servicios,Hombre,Jefe de Departamento,25245.0,608904.0,1
11,Tribunal,MULTADO,DESVÍO DE RECURSOS PÚBLICOS,Servicios,Hombre,Jefe de Departamento,25245.0,608904.0,1
12,Tribunal,MULTADO,DESVÍO DE RECURSOS PÚBLICOS,Servicios,Hombre,Jefe de Departamento,25245.0,608904.0,1
13,Tribunal,MULTADO,DESVÍO DE RECURSOS PÚBLICOS,Servicios,Hombre,Jefe de Departamento,25245.0,608904.0,1
14,Tribunal,MULTADO,DESVÍO DE RECURSOS PÚBLICOS,Servicios,Hombre,Jefe de Departamento,25245.0,608904.0,1
15,Tribunal,MULTADO,DESVÍO DE RECURSOS PÚBLICOS,Servicios,Hombre,Jefe de Departamento,25245.0,608904.0,1
16,Organo de Control Interno,MULTADO,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,Analista,21213.0,126855.0,1
17,Organo de Control Interno,MULTADO,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,Analista,21213.0,126855.0,1
18,Organo de Control Interno,MULTADO,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,Analista,21213.0,608904.0,1
19,Organo de Control Interno,MULTADO,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,Analista,21213.0,608904.0,1
20,Organo de Control Interno,MULTADO,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,Analista,21213.0,608904.0,1
21,Organo de Control Interno,MULTADO,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,Analista,21213.0,608904.0,1
22,Organo de Control Interno,MULTADO,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,Analista,21213.0,608904.0,1
23,Organo de Control Interno,MULTADO,TRÁFICO DE INFLUENCIAS,Servicios,Hombre,Analista,21213.0,608904.0,1
24,OIC,SANCIÓN ECONÓMICA,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,Jefe de Departamento,18049.0,105560.0,1
25,OIC,SANCIÓN ECONÓMICA,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,Jefe de Departamento,18049.0,105560.0,1
26,OIC,SANCIÓN ECONÓMICA,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,Jefe de Departamento,18049.0,506688.0,1
27,OIC,SANCIÓN ECONÓMICA,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,Jefe de Departamento,18049.0,506688.0,1
28,OIC,SANCIÓN ECONÓMICA,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,Jefe de Departamento,18049.0,506688.0,1
29,OIC,SANCIÓN ECONÓMICA,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,Jefe de Departamento,18049.0,506688.0,1
30,OIC,SANCIÓN ECONÓMICA,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,Jefe de Departamento,18049.0,506688.0,1
31,OIC,SANCIÓN ECONÓMICA,TRÁFICO DE INFLUENCIAS,Educación e Investigación,Hombre,Jefe de Departamento,18049.0,506688.0,1
32,Contraloría Interna,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,Analista,18049.0,506688.0,1
33,Contraloría Interna,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,Analista,18049.0,160000.0,1
34,Contraloría Interna,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,Analista,18049.0,768000.0,1
35,Contraloría Interna,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,Analista,18049.0,768000.0,1
36,Contraloría Interna,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,Analista,18049.0,768000.0,1
37,Contraloría Interna,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,Analista,18049.0,768000.0,1
38,Contraloría Interna,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,Analista,18049.0,768000.0,1
39,Contraloría Interna,INHABILITADO,UTILIZACIÓN INDEBIDA DE INFORMACIÓN,Medio Ambiente,Hombre,Analista,18049.0,768000.0,1
40,Tribunal,INDEMNIZACIÓN RESARCITORIA,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director de Area,28535.0,768000.0,1
41,Tribunal,INDEMNIZACIÓN RESARCITORIA,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director de Area,28535.0,252600.0,1
42,Tribunal,INDEMNIZACIÓN RESARCITORIA,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director de Area,28535.0,1084512.0,1
43,Tribunal,INDEMNIZACIÓN RESARCITORIA,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director de Area,28535.0,1151004.0,1
44,Tribunal,INDEMNIZACIÓN RESARCITORIA,DESVÍO DE RECURSOS PÚBLICOS,Agricultura,Hombre,Director de Area,28535.0,1081716.0,1
